type_value,type_description,subtype_value,subtype_description
"00","management","0000","Association Request"
"00","management","0001","Association Response"
"00","management","0010","Reassociation Request"
"00","management","0011","Reassociation Response"
"00","management","0100","Probe Request"
"00","management","0101","Probe Response"
"00","management","0110","Timing Advertisement"
"00","management","0111","Reserved"
"00","management","1000","Beacon"
"00","management","1001","ATIM"
"00","management","1010","Disassociation"
"00","management","1011","Authentication"
"00","management","1100","Deauthentication"
"00","management","1101","Action"
"00","management","1110","Action No Ack (NACK)"
"00","management","1111","Reserved"
"01","control","0000","Reserved"
"01","control","0001","Reserved"
"01","control","0010","Trigger"
"01","control","0011","TACK"
"01","control","0100","Beamforming Report Poll"
"01","control","0101","VHT/HE NDP Announcement"
"01","control","0110","Control Frame Extension"
"01","control","0111","Control Wrapper"
"01","control","1000","Block Ack Request (BAR)"
"01","control","1001","Block Ack (BA)"
"01","control","1010","PS-Poll"
"01","control","1011","RTS"
"01","control","1100","CTS"
"01","control","1101","ACK"
"01","control","1110","CF-End"
"01","control","1111","CF-End + CF-ACK"
"10","data","0000","Data"
"10","data","0001","Data + CF-ACK"
"10","data","0010","Data + CF-Poll"
"10","data","0011","Data + CF-ACK + CF-Poll"
"10","data","0100","Null (no data)"
"10","data","0101","CF-ACK (no data)"
"10","data","0110","CF-Poll (no data)"
"10","data","0111","CF-ACK + CF-Poll (no data)"
"10","data","1000","QoS Data"
"10","data","1001","QoS Data + CF-ACK"
"10","data","1010","QoS Data + CF-Poll"
"10","data","1011","QoS Data + CF-ACK + CF-Poll"
"10","data","1100","QoS Null (no data)"
"10","data","1101","Reserved"
"10","data","1110","QoS CF-Poll (no data)"
"10","data","1111","QoS CF-ACK + CF-Poll (no data)"
"11","extension","0000","DMG Beacon"
"11","extension","0001","S1G Beacon"
"11","extension","0010","Reserved"
"11","extension","0011","Reserved"
"11","extension","0100","Reserved"
"11","extension","0101","Reserved"
"11","extension","0110","Reserved"
"11","extension","0111","Reserved"
"11","extension","1000","Reserved"
"11","extension","1001","Reserved"
"11","extension","1010","Reserved"
"11","extension","1011","Reserved"
"11","extension","1100","Reserved"
"11","extension","1101","Reserved"
"11","extension","1110","Reserved"
"11","extension","1111","Reserved"
